 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,051"
08:30;"0,164"
08:45;"0,384"
09:00;"0,405"
09:15;"0,699"
09:30;"1,652"
09:45;"1,606"
10:00;"1,074"
10:15;"1,857"
10:30;"2,341"
10:45;"2,151"
11:00;"2,413"
11:15;"2,492"
11:30;"2,543"
11:45;"2,512"
12:00;"2,505"
12:15;"2,500"
12:30;"2,329"
12:45;"1,038"
13:00;"1,138"
13:15;"1,708"
13:30;"2,077"
13:45;"1,044"
14:00;"1,011"
14:15;"0,932"
14:30;"1,305"
14:45;"1,211"
15:00;"0,643"
15:15;"0,487"
15:30;"0,331"
15:45;"0,194"
16:00;"0,413"
16:15;"0,189"
16:30;"0,164"
16:45;"0,148"
17:00;"0,124"
17:15;"0,141"
17:30;"0,117"
17:45;"0,052"
18:00;"0,031"
18:15;"0,010"
18:30;"0,000"
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
