 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;"0,000"
07:30;"0,008"
07:45;"0,242"
08:00;"0,846"
08:15;"1,327"
08:30;"1,637"
08:45;"2,004"
09:00;"2,209"
09:15;"2,394"
09:30;"2,550"
09:45;"2,649"
10:00;"2,680"
10:15;"2,786"
10:30;"2,826"
10:45;"2,869"
11:00;"2,878"
11:15;"2,885"
11:30;"2,885"
11:45;"2,839"
12:00;"2,766"
12:15;"2,689"
12:30;"2,599"
12:45;"2,479"
13:00;"2,337"
13:15;"2,230"
13:30;"2,088"
13:45;"1,927"
14:00;"1,751"
14:15;"1,571"
14:30;"1,365"
14:45;"1,158"
15:00;"0,943"
15:15;"0,729"
15:30;"0,531"
15:45;"0,368"
16:00;"0,246"
16:15;"0,194"
16:30;"0,185"
16:45;"0,172"
17:00;"0,146"
17:15;"0,130"
17:30;"0,110"
17:45;"0,085"
18:00;"0,061"
18:15;"0,032"
18:30;"0,006"
18:45;"0,000"
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
