 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,037"
08:45;"0,067"
09:00;"0,100"
09:15;"0,136"
09:30;"0,160"
09:45;"0,211"
10:00;"0,278"
10:15;"0,330"
10:30;"0,491"
10:45;"0,495"
11:00;"0,725"
11:15;"0,993"
11:30;"1,895"
11:45;"2,359"
12:00;"2,619"
12:15;"2,575"
12:30;"2,496"
12:45;"2,399"
13:00;"2,263"
13:15;"2,137"
13:30;"1,991"
13:45;"1,837"
14:00;"1,658"
14:15;"1,479"
14:30;"1,289"
14:45;"1,091"
15:00;"0,907"
15:15;"0,720"
15:30;"0,540"
15:45;"0,386"
16:00;"0,272"
16:15;"0,215"
16:30;"0,189"
16:45;"0,168"
17:00;"0,142"
17:15;"0,123"
17:30;"0,098"
17:45;"0,075"
18:00;"0,048"
18:15;"0,020"
18:30;"0,001"
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
