 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;"0,000"
08:15;"0,000"
08:30;"0,032"
08:45;"0,290"
09:00;"0,749"
09:15;"0,984"
09:30;"1,199"
09:45;"1,408"
10:00;"1,602"
10:15;"1,726"
10:30;"1,875"
10:45;"1,981"
11:00;"2,106"
11:15;"2,197"
11:30;"2,240"
11:45;"2,245"
12:00;"2,222"
12:15;"2,235"
12:30;"2,193"
12:45;"2,156"
13:00;"2,066"
13:15;"1,931"
13:30;"1,793"
13:45;"1,623"
14:00;"1,464"
14:15;"1,275"
14:30;"1,084"
14:45;"0,894"
15:00;"0,686"
15:15;"0,497"
15:30;"0,337"
15:45;"0,226"
16:00;"0,173"
16:15;"0,160"
16:30;"0,144"
16:45;"0,123"
17:00;"0,103"
17:15;"0,076"
17:30;"0,050"
17:45;"0,021"
18:00;"0,001"
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
