 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,042"
08:45;"0,065"
09:00;"0,103"
09:15;"0,168"
09:30;"0,278"
09:45;"0,296"
10:00;"0,295"
10:15;"0,379"
10:30;"0,414"
10:45;"0,386"
11:00;"0,374"
11:15;"0,411"
11:30;"0,621"
11:45;"1,265"
12:00;"1,715"
12:15;"1,610"
12:30;"1,561"
12:45;"1,379"
13:00;"1,691"
13:15;"1,345"
13:30;"1,122"
13:45;"1,013"
14:00;"1,090"
14:15;"0,957"
14:30;"0,887"
14:45;"0,783"
15:00;"0,717"
15:15;"0,648"
15:30;"0,571"
15:45;"0,510"
16:00;"0,454"
16:15;"0,392"
16:30;"0,313"
16:45;"0,256"
17:00;"0,210"
17:15;"0,152"
17:30;"0,098"
17:45;"0,049"
18:00;"0,005"
18:15;"0,000"
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
