 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;
08:45;"0,000"
09:00;"0,000"
09:15;"0,000"
09:30;"0,000"
09:45;"0,000"
10:00;"0,000"
10:15;"0,019"
10:30;"0,035"
10:45;"0,042"
11:00;"0,056"
11:15;"0,069"
11:30;"0,058"
11:45;"0,084"
12:00;"0,103"
12:15;"0,050"
12:30;"0,038"
12:45;"0,079"
13:00;"0,109"
13:15;"0,170"
13:30;"0,190"
13:45;"0,168"
14:00;"0,151"
14:15;"0,155"
14:30;"0,149"
14:45;"0,149"
15:00;"0,138"
15:15;"0,066"
15:30;"0,026"
15:45;"0,024"
16:00;"0,027"
16:15;"0,023"
16:30;"0,012"
16:45;"0,004"
17:00;"0,000"
17:15;"0,000"
17:30;"0,000"
17:45;"0,000"
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
