 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;"0,000"
07:30;"0,000"
07:45;"0,015"
08:00;"0,061"
08:15;"0,115"
08:30;"0,187"
08:45;"0,265"
09:00;"0,324"
09:15;"0,395"
09:30;"0,459"
09:45;"0,531"
10:00;"0,592"
10:15;"0,574"
10:30;"0,638"
10:45;"0,706"
11:00;"0,817"
11:15;"1,220"
11:30;"2,941"
11:45;"2,763"
12:00;"1,241"
12:15;"0,752"
12:30;"1,962"
12:45;"0,860"
13:00;"1,355"
13:15;"2,379"
13:30;"2,200"
13:45;"1,515"
14:00;"1,551"
14:15;"1,073"
14:30;"1,501"
14:45;"0,978"
15:00;"0,557"
15:15;"0,553"
15:30;"0,415"
15:45;"0,632"
16:00;"0,321"
16:15;"0,322"
16:30;"0,243"
16:45;"0,293"
17:00;"0,324"
17:15;"0,178"
17:30;"0,208"
17:45;"0,103"
18:00;"0,066"
18:15;"0,040"
18:30;"0,002"
18:45;"0,000"
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
