 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;"0,000"
08:30;"0,000"
08:45;"0,081"
09:00;"0,373"
09:15;"0,773"
09:30;"1,136"
09:45;"1,335"
10:00;"1,576"
10:15;"1,823"
10:30;"1,903"
10:45;"1,987"
11:00;"2,058"
11:15;"2,029"
11:30;"2,081"
11:45;"2,102"
12:00;"1,651"
12:15;"2,062"
12:30;"1,772"
12:45;"1,283"
13:00;"1,631"
13:15;"1,756"
13:30;"1,290"
13:45;"1,083"
14:00;"0,656"
14:15;"0,625"
14:30;"0,690"
14:45;"0,578"
15:00;"0,490"
15:15;"0,454"
15:30;"0,350"
15:45;"0,289"
16:00;"0,200"
16:15;"0,189"
16:30;"0,168"
16:45;"0,119"
17:00;"0,071"
17:15;"0,056"
17:30;"0,029"
17:45;"0,009"
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
