 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,017"
08:45;"0,036"
09:00;"0,065"
09:15;"0,095"
09:30;"0,147"
09:45;"0,187"
10:00;"0,184"
10:15;"0,218"
10:30;"0,248"
10:45;"0,302"
11:00;"0,353"
11:15;"0,457"
11:30;"0,575"
11:45;"0,627"
12:00;"0,770"
12:15;"0,776"
12:30;"0,962"
12:45;"0,850"
13:00;"1,609"
13:15;"1,988"
13:30;"2,039"
13:45;"1,489"
14:00;"1,444"
14:15;"1,448"
14:30;"0,863"
14:45;"0,857"
15:00;"0,912"
15:15;"0,722"
15:30;"0,442"
15:45;"0,326"
16:00;"0,234"
16:15;"0,216"
16:30;"0,185"
16:45;"0,158"
17:00;"0,133"
17:15;"0,114"
17:30;"0,093"
17:45;"0,069"
18:00;"0,042"
18:15;"0,014"
18:30;"0,000"
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
