 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;
08:45;"0,000"
09:00;"0,000"
09:15;"0,013"
09:30;"0,109"
09:45;"0,237"
10:00;"0,263"
10:15;"0,258"
10:30;"0,381"
10:45;"0,516"
11:00;"0,394"
11:15;"0,468"
11:30;"0,625"
11:45;"0,715"
12:00;"0,974"
12:15;"0,975"
12:30;"0,622"
12:45;"0,819"
13:00;"0,987"
13:15;"1,077"
13:30;"1,233"
13:45;"1,113"
14:00;"0,989"
14:15;"0,859"
14:30;"0,784"
14:45;"0,589"
15:00;"0,459"
15:15;"0,392"
15:30;"0,288"
15:45;"0,259"
16:00;"0,209"
16:15;"0,167"
16:30;"0,110"
16:45;"0,080"
17:00;"0,036"
17:15;"0,004"
17:30;"0,000"
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
