 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;"0,000"
08:00;"0,000"
08:15;"0,015"
08:30;"0,171"
08:45;"0,512"
09:00;"0,840"
09:15;"1,241"
09:30;"1,444"
09:45;"1,697"
10:00;"1,936"
10:15;"2,110"
10:30;"2,222"
10:45;"2,057"
11:00;"2,261"
11:15;"2,337"
11:30;"2,282"
11:45;"2,265"
12:00;"2,217"
12:15;"1,905"
12:30;"1,998"
12:45;"2,041"
13:00;"1,862"
13:15;"1,413"
13:30;"1,598"
13:45;"1,290"
14:00;"0,965"
14:15;"0,806"
14:30;"1,272"
14:45;"0,966"
15:00;"0,763"
15:15;"0,554"
15:30;"0,464"
15:45;"0,397"
16:00;"0,433"
16:15;"0,332"
16:30;"0,212"
16:45;"0,208"
17:00;"0,213"
17:15;"0,142"
17:30;"0,097"
17:45;"0,062"
18:00;"0,017"
18:15;"0,000"
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
