 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;"0,000"
08:15;"0,000"
08:30;"0,019"
08:45;"0,089"
09:00;"0,273"
09:15;"0,383"
09:30;"0,392"
09:45;"0,294"
10:00;"0,466"
10:15;"0,511"
10:30;"0,362"
10:45;"0,366"
11:00;"0,586"
11:15;"0,660"
11:30;"0,646"
11:45;"0,766"
12:00;"0,834"
12:15;"1,251"
12:30;"1,588"
12:45;"1,210"
13:00;"0,488"
13:15;"0,889"
13:30;"1,230"
13:45;"1,257"
14:00;"1,170"
14:15;"0,718"
14:30;"0,432"
14:45;"0,719"
15:00;"0,413"
15:15;"0,393"
15:30;"0,398"
15:45;"0,320"
16:00;"0,418"
16:15;"0,325"
16:30;"0,242"
16:45;"0,180"
17:00;"0,114"
17:15;"0,066"
17:30;"0,038"
17:45;"0,019"
18:00;"0,001"
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
