 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,010"
08:00;"0,061"
08:15;"0,102"
08:30;"0,161"
08:45;"0,181"
09:00;"0,217"
09:15;"0,229"
09:30;"0,306"
09:45;"0,346"
10:00;"0,545"
10:15;"0,684"
10:30;"0,707"
10:45;"0,707"
11:00;"0,602"
11:15;"0,745"
11:30;"1,034"
11:45;"1,063"
12:00;"0,875"
12:15;"0,863"
12:30;"0,817"
12:45;"1,032"
13:00;"1,216"
13:15;"1,318"
13:30;"1,482"
13:45;"1,303"
14:00;"0,986"
14:15;"0,804"
14:30;"0,685"
14:45;"0,734"
15:00;"0,734"
15:15;"0,597"
15:30;"0,622"
15:45;"0,576"
16:00;"0,501"
16:15;"0,405"
16:30;"0,348"
16:45;"0,282"
17:00;"0,274"
17:15;"0,233"
17:30;"0,178"
17:45;"0,074"
18:00;"0,020"
18:15;"0,003"
18:30;"0,000"
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
