 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;"0,000"
07:45;"0,000"
08:00;"0,079"
08:15;"0,329"
08:30;"0,655"
08:45;"1,001"
09:00;"1,356"
09:15;"1,624"
09:30;"1,832"
09:45;"2,037"
10:00;"2,233"
10:15;"2,352"
10:30;"2,456"
10:45;"2,523"
11:00;"2,581"
11:15;"2,605"
11:30;"2,617"
11:45;"2,573"
12:00;"2,483"
12:15;"2,509"
12:30;"2,432"
12:45;"2,310"
13:00;"2,184"
13:15;"2,065"
13:30;"1,935"
13:45;"1,791"
14:00;"1,585"
14:15;"1,438"
14:30;"1,252"
14:45;"1,063"
15:00;"0,843"
15:15;"0,683"
15:30;"0,501"
15:45;"0,348"
16:00;"0,242"
16:15;"0,189"
16:30;"0,175"
16:45;"0,148"
17:00;"0,125"
17:15;"0,109"
17:30;"0,092"
17:45;"0,070"
18:00;"0,045"
18:15;"0,018"
18:30;"0,000"
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
