 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;"0,000"
08:30;"0,000"
08:45;"0,006"
09:00;"0,091"
09:15;"0,237"
09:30;"0,619"
09:45;"0,237"
10:00;"0,162"
10:15;"0,205"
10:30;"0,417"
10:45;"1,083"
11:00;"1,343"
11:15;"1,361"
11:30;"0,771"
11:45;"0,523"
12:00;"0,791"
12:15;"1,274"
12:30;"0,556"
12:45;"0,605"
13:00;"0,743"
13:15;"0,599"
13:30;"1,195"
13:45;"1,106"
14:00;"0,661"
14:15;"0,532"
14:30;"0,778"
14:45;"0,664"
15:00;"0,586"
15:15;"0,465"
15:30;"0,268"
15:45;"0,223"
16:00;"0,238"
16:15;"0,205"
16:30;"0,149"
16:45;"0,102"
17:00;"0,050"
17:15;"0,041"
17:30;"0,023"
17:45;"0,011"
18:00;"0,000"
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
