 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,031"
08:00;"0,135"
08:15;"0,245"
08:30;"0,620"
08:45;"1,262"
09:00;"1,488"
09:15;"1,314"
09:30;"1,967"
09:45;"2,350"
10:00;"2,454"
10:15;"2,696"
10:30;"1,839"
10:45;"2,235"
11:00;"2,737"
11:15;"2,778"
11:30;"2,700"
11:45;"2,636"
12:00;"2,643"
12:15;"2,600"
12:30;"2,434"
12:45;"2,136"
13:00;"2,252"
13:15;"1,741"
13:30;"1,541"
13:45;"1,977"
14:00;"1,777"
14:15;"1,598"
14:30;"1,388"
14:45;"1,222"
15:00;"1,013"
15:15;"0,819"
15:30;"0,675"
15:45;"0,485"
16:00;"0,324"
16:15;"0,274"
16:30;"0,219"
16:45;"0,153"
17:00;"0,133"
17:15;"0,147"
17:30;"0,130"
17:45;"0,101"
18:00;"0,068"
18:15;"0,042"
18:30;"0,005"
18:45;"0,000"
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
