 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;"0,000"
08:15;"0,000"
08:30;"0,039"
08:45;"0,150"
09:00;"0,149"
09:15;"0,259"
09:30;"0,539"
09:45;"0,617"
10:00;"0,563"
10:15;"0,860"
10:30;"1,459"
10:45;"2,040"
11:00;"1,743"
11:15;"1,282"
11:30;"2,161"
11:45;"2,365"
12:00;"2,269"
12:15;"2,060"
12:30;"1,429"
12:45;"1,775"
13:00;"1,512"
13:15;"1,836"
13:30;"1,488"
13:45;"1,292"
14:00;"0,778"
14:15;"1,012"
14:30;"1,032"
14:45;"0,910"
15:00;"0,449"
15:15;"0,453"
15:30;"0,395"
15:45;"0,403"
16:00;"0,285"
16:15;"0,289"
16:30;"0,328"
16:45;"0,251"
17:00;"0,198"
17:15;"0,144"
17:30;"0,087"
17:45;"0,056"
18:00;"0,009"
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
