 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,150"
08:45;"0,563"
09:00;"1,363"
09:15;"1,669"
09:30;"1,923"
09:45;"2,108"
10:00;"2,261"
10:15;"2,384"
10:30;"2,484"
10:45;"2,551"
11:00;"2,592"
11:15;"2,601"
11:30;"2,599"
11:45;"2,568"
12:00;"2,519"
12:15;"2,457"
12:30;"2,356"
12:45;"2,279"
13:00;"2,160"
13:15;"2,026"
13:30;"1,874"
13:45;"1,690"
14:00;"1,532"
14:15;"1,338"
14:30;"1,103"
14:45;"0,926"
15:00;"0,717"
15:15;"0,517"
15:30;"0,345"
15:45;"0,218"
16:00;"0,160"
16:15;"0,140"
16:30;"0,122"
16:45;"0,109"
17:00;"0,088"
17:15;"0,068"
17:30;"0,047"
17:45;"0,019"
18:00;"0,000"
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
