 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;"0,000"
08:00;"0,000"
08:15;"0,010"
08:30;"0,270"
08:45;"0,399"
09:00;"0,810"
09:15;"1,801"
09:30;"2,026"
09:45;"2,200"
10:00;"2,374"
10:15;"2,462"
10:30;"1,588"
10:45;"2,008"
11:00;"1,863"
11:15;"2,436"
11:30;"2,377"
11:45;"2,574"
12:00;"2,402"
12:15;"2,310"
12:30;"2,301"
12:45;"2,321"
13:00;"2,107"
13:15;"1,967"
13:30;"1,128"
13:45;"1,171"
14:00;"1,292"
14:15;"1,529"
14:30;"1,009"
14:45;"0,976"
15:00;"0,673"
15:15;"0,497"
15:30;"0,423"
15:45;"0,291"
16:00;"0,225"
16:15;"0,209"
16:30;"0,171"
16:45;"0,138"
17:00;"0,158"
17:15;"0,137"
17:30;"0,090"
17:45;"0,032"
18:00;"0,002"
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
