 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;"0,000"
07:45;"0,000"
08:00;"0,069"
08:15;"0,109"
08:30;"0,239"
08:45;"0,432"
09:00;"0,655"
09:15;"0,904"
09:30;"1,170"
09:45;"1,335"
10:00;"1,546"
10:15;"1,577"
10:30;"1,856"
10:45;"2,002"
11:00;"2,057"
11:15;"2,105"
11:30;"2,169"
11:45;"2,129"
12:00;"2,147"
12:15;"2,034"
12:30;"2,005"
12:45;"2,013"
13:00;"1,887"
13:15;"1,770"
13:30;"1,657"
13:45;"1,570"
14:00;"1,445"
14:15;"1,291"
14:30;"1,144"
14:45;"0,706"
15:00;"0,893"
15:15;"0,728"
15:30;"0,636"
15:45;"0,559"
16:00;"0,363"
16:15;"0,316"
16:30;"0,269"
16:45;"0,315"
17:00;"0,246"
17:15;"0,223"
17:30;"0,186"
17:45;"0,124"
18:00;"0,057"
18:15;"0,020"
18:30;"0,000"
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
