 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;"0,000"
08:45;"0,000"
09:00;"0,000"
09:15;"0,000"
09:30;"0,013"
09:45;"0,050"
10:00;"0,072"
10:15;"0,075"
10:30;"0,204"
10:45;"0,718"
11:00;"1,434"
11:15;"1,639"
11:30;"2,012"
11:45;"0,921"
12:00;"0,724"
12:15;"0,466"
12:30;"0,456"
12:45;"0,270"
13:00;"0,276"
13:15;"0,390"
13:30;"0,561"
13:45;"0,679"
14:00;"0,512"
14:15;"0,942"
14:30;"0,455"
14:45;"0,677"
15:00;"0,584"
15:15;"0,439"
15:30;"0,228"
15:45;"0,168"
16:00;"0,236"
16:15;"0,263"
16:30;"0,179"
16:45;"0,123"
17:00;"0,059"
17:15;"0,035"
17:30;"0,011"
17:45;"0,000"
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
