 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;"0,000"
07:30;"0,000"
07:45;"0,078"
08:00;"0,532"
08:15;"1,160"
08:30;"1,577"
08:45;"1,853"
09:00;"2,160"
09:15;"2,354"
09:30;"2,513"
09:45;"2,635"
10:00;"2,772"
10:15;"2,821"
10:30;"2,853"
10:45;"2,899"
11:00;"2,873"
11:15;"2,483"
11:30;"2,189"
11:45;"2,428"
12:00;"2,862"
12:15;"2,757"
12:30;"2,680"
12:45;"2,577"
13:00;"2,451"
13:15;"2,332"
13:30;"2,178"
13:45;"1,977"
14:00;"1,824"
14:15;"1,638"
14:30;"1,441"
14:45;"1,230"
15:00;"1,012"
15:15;"0,787"
15:30;"0,567"
15:45;"0,385"
16:00;"0,237"
16:15;"0,164"
16:30;"0,150"
16:45;"0,141"
17:00;"0,125"
17:15;"0,111"
17:30;"0,096"
17:45;"0,083"
18:00;"0,042"
18:15;"0,025"
18:30;"0,003"
18:45;"0,000"
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
