 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;"0,000"
07:30;"0,000"
07:45;"0,006"
08:00;"0,229"
08:15;"0,767"
08:30;"1,194"
08:45;"1,477"
09:00;"1,818"
09:15;"2,040"
09:30;"2,216"
09:45;"2,342"
10:00;"2,434"
10:15;"2,514"
10:30;"2,582"
10:45;"2,610"
11:00;"2,638"
11:15;"2,638"
11:30;"2,636"
11:45;"2,602"
12:00;"2,544"
12:15;"2,464"
12:30;"2,379"
12:45;"2,277"
13:00;"2,155"
13:15;"2,066"
13:30;"1,933"
13:45;"1,791"
14:00;"1,629"
14:15;"1,459"
14:30;"1,277"
14:45;"1,092"
15:00;"0,892"
15:15;"0,694"
15:30;"0,484"
15:45;"0,357"
16:00;"0,240"
16:15;"0,181"
16:30;"0,165"
16:45;"0,152"
17:00;"0,138"
17:15;"0,121"
17:30;"0,101"
17:45;"0,079"
18:00;"0,051"
18:15;"0,020"
18:30;"0,000"
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
