 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;"0,000"
08:15;"0,000"
08:30;"0,035"
08:45;"0,088"
09:00;"0,177"
09:15;"0,346"
09:30;"0,289"
09:45;"0,386"
10:00;"0,830"
10:15;"0,686"
10:30;"0,461"
10:45;"0,267"
11:00;"0,432"
11:15;"0,663"
11:30;"0,564"
11:45;"0,581"
12:00;"0,883"
12:15;"0,959"
12:30;"0,678"
12:45;"0,727"
13:00;"0,749"
13:15;"0,788"
13:30;"0,629"
13:45;"0,665"
14:00;"0,557"
14:15;"0,363"
14:30;"0,131"
14:45;"0,076"
15:00;"0,109"
15:15;"0,264"
15:30;"0,262"
15:45;"0,071"
16:00;"0,048"
16:15;"0,000"
16:30;"0,022"
16:45;"0,040"
17:00;"0,013"
17:15;"0,000"
17:30;"0,016"
17:45;"0,025"
18:00;"0,000"
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
