 ;Devisscher - Leopoldsburg - BE / Vermogen / Gemiddelde waarden  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;
08:45;"0,000"
09:00;"0,000"
09:15;"0,031"
09:30;"0,095"
09:45;"0,154"
10:00;"0,174"
10:15;"0,194"
10:30;"0,216"
10:45;"0,225"
11:00;"0,250"
11:15;"0,217"
11:30;"0,157"
11:45;"0,204"
12:00;"0,376"
12:15;"0,665"
12:30;"1,209"
12:45;"0,854"
13:00;"0,834"
13:15;"0,713"
13:30;"0,975"
13:45;"0,819"
14:00;"0,749"
14:15;"0,369"
14:30;"0,270"
14:45;"0,231"
15:00;"0,094"
15:15;"0,094"
15:30;"0,116"
15:45;"0,103"
16:00;"0,079"
16:15;"0,029"
16:30;"0,022"
16:45;"0,004"
17:00;
17:15;
17:30;
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
